Crop,Soil_Type,Soil_Moisture,Temperature,Humidity,Rainfall,Nitrogen,Phosphorus,Potassium,pH,Area_Hectare,Irrigation_Hours,Yield_Ton_Per_Hectare
Wheat,Black,37.1,30.3,62.0,921.5,110.9,54.7,77.4,6.85,7.92,1.1,2.94
Potato,Alluvial,45.4,19.8,87.6,127.9,114.7,88.2,119.1,4.51,6.38,2.5,18.94
Sugarcane,Clay,52.0,19.9,83.3,1536.2,152.3,66.4,29.4,7.04,6.97,3.4,57.24
Rice,Red,64.8,20.7,86.0,865.9,83.3,54.1,19.9,5.68,1.99,2.3,3.92
Rice,Red,42.7,29.6,86.3,1207.2,106.8,63.9,18.3,7.36,7.65,5.5,3.88
Tomato,Sandy,69.0,27.4,63.5,391.8,146.0,72.8,40.8,5.41,9.19,3.0,24.65
Wheat,Clay,57.1,7.9,56.6,622.2,165.2,46.2,72.7,5.56,8.15,1.9,2.95
Sugarcane,Loamy,94.7,34.6,49.1,1687.9,111.2,81.4,71.3,5.0,4.46,3.7,54.25
Rice,Red,54.9,25.2,43.0,1334.3,88.8,39.9,35.2,5.92,0.87,1.6,4.51
Maize,Alluvial,46.7,24.2,49.8,1026.5,142.9,49.9,48.6,6.14,5.67,3.2,2.7
Tomato,Red,53.2,18.2,66.5,560.0,88.8,55.8,87.2,5.58,3.71,3.0,26.71
Cotton,Alluvial,5.0,25.0,44.4,69.8,62.9,52.2,83.2,7.25,7.72,2.3,1.59
Tomato,Black,34.2,9.0,54.2,487.0,107.1,61.7,66.4,6.79,6.59,2.8,24.79
Tomato,Red,37.0,17.0,38.0,332.7,139.3,80.3,114.5,6.72,4.27,2.8,24.78
Potato,Loamy,33.5,25.1,73.4,975.7,107.7,94.2,150.0,5.01,4.41,0.2,15.86
Potato,Black,54.0,14.9,50.1,398.0,126.5,63.1,58.3,5.63,4.97,0.6,20.34
Sugarcane,Alluvial,51.1,32.6,73.5,1734.6,185.5,46.4,101.7,7.72,6.98,2.3,61.11
Cotton,Sandy,26.8,33.8,44.2,846.2,141.1,63.9,57.1,6.21,8.57,2.2,1.56
Cotton,Red,32.5,11.8,43.9,1221.2,61.6,53.8,75.2,6.0,9.67,4.1,1.71
Rice,Red,91.9,28.3,64.0,1072.4,126.4,64.0,71.8,5.6,6.34,2.0,4.15
Maize,Red,35.6,21.0,51.5,676.9,159.0,65.8,45.1,6.01,9.28,2.1,2.4
Sugarcane,Loamy,70.2,32.3,44.8,947.3,167.5,31.9,93.3,6.68,4.15,3.5,54.87
Cotton,Black,25.7,26.5,30.6,471.7,40.4,44.9,78.7,6.97,6.13,1.5,1.91
Maize,Red,35.8,26.8,36.3,853.1,130.3,86.6,57.0,7.08,7.79,2.1,2.44
Potato,Clay,41.7,12.2,78.6,1197.9,90.6,58.8,123.0,4.9,6.69,1.2,17.53
Rice,Clay,76.8,25.6,33.7,1269.7,147.2,17.8,25.9,6.34,9.78,2.4,4.11
Tomato,Alluvial,30.4,21.8,67.5,870.3,131.2,65.1,64.3,7.28,6.92,3.7,23.39
Rice,Alluvial,82.2,25.9,52.2,1067.0,112.8,51.5,35.2,5.87,3.72,2.2,4.31
Cotton,Sandy,19.2,14.5,33.1,159.5,78.7,89.1,36.9,7.14,8.23,2.7,1.59
Wheat,Sandy,43.6,12.4,81.8,1237.3,69.5,39.5,33.0,5.73,2.05,1.2,2.92
Cotton,Black,79.0,37.5,63.2,933.8,133.2,38.7,29.6,7.06,5.88,2.3,1.66
Sugarcane,Red,63.7,25.4,89.6,779.3,165.2,99.8,116.8,6.18,8.37,3.3,62.33
Wheat,Red,27.3,9.0,79.0,791.3,45.2,40.4,53.2,7.53,3.75,2.4,2.53
Tomato,Sandy,49.7,23.6,57.3,132.8,120.9,74.5,79.4,6.68,4.69,1.7,26.5
Sugarcane,Alluvial,64.0,31.9,55.5,1482.3,166.9,62.2,52.6,5.56,0.64,3.6,64.8
Sugarcane,Alluvial,90.2,30.4,36.8,1568.8,132.2,74.7,29.6,6.33,2.25,3.5,58.15
Cotton,Loamy,45.2,8.0,24.4,489.9,94.1,53.8,31.8,7.01,1.18,4.2,1.97
Cotton,Black,30.7,25.4,20.3,1039.2,127.4,15.3,5.0,5.44,9.4,3.3,1.68
Wheat,Alluvial,47.9,19.1,74.6,258.4,154.4,45.4,84.5,5.7,6.01,2.5,2.98
Sugarcane,Clay,59.1,24.3,67.4,1221.6,165.3,108.7,80.4,6.46,1.19,3.1,60.3
Maize,Clay,50.8,24.4,52.5,253.9,149.7,58.8,52.5,5.77,3.67,1.6,3.0
Wheat,Black,52.8,25.8,48.1,787.9,158.4,15.7,52.6,4.51,9.97,2.4,2.79
Sugarcane,Red,54.5,16.6,57.0,2500.0,95.0,49.0,97.4,7.99,2.03,6.6,46.11
Cotton,Red,52.2,21.5,59.3,547.9,109.9,79.0,72.0,6.14,5.89,3.2,1.85
Sugarcane,Clay,31.5,21.2,46.1,1795.2,125.7,35.3,55.0,6.76,1.37,3.3,58.0
Tomato,Red,42.9,23.9,46.7,373.1,132.5,44.0,88.9,4.87,1.66,0.6,27.54
Maize,Red,58.0,33.8,44.5,419.9,111.7,50.3,52.9,5.75,4.15,4.2,2.42
Rice,Sandy,80.1,20.5,71.2,1570.0,92.4,50.8,80.8,4.69,4.18,3.1,3.9
Cotton,Loamy,24.4,18.3,86.6,759.6,131.9,61.2,51.5,7.06,0.68,1.7,1.82
Maize,Black,45.0,27.6,52.9,581.1,140.0,83.0,11.7,6.81,7.7,1.4,2.93
Tomato,Black,76.8,26.8,57.0,276.9,136.0,64.3,85.7,6.16,3.62,2.2,27.0
Rice,Black,55.3,38.1,54.4,1024.3,131.0,21.6,70.5,6.04,8.21,4.0,3.89
Tomato,Alluvial,45.1,26.3,78.6,772.7,102.0,79.3,81.0,8.3,5.69,1.6,26.05
Rice,Alluvial,72.7,29.9,60.1,386.3,104.8,94.3,41.0,5.42,8.12,3.4,3.93
Maize,Clay,64.7,20.6,66.0,465.4,165.4,83.0,53.8,5.91,2.1,2.3,2.68
Potato,Red,64.7,25.8,41.7,940.6,67.8,94.1,136.3,5.41,9.82,1.2,15.15
Sugarcane,Red,80.7,23.5,51.4,1673.0,178.0,65.5,86.6,7.66,3.07,5.0,59.42
Potato,Loamy,53.4,19.0,40.7,528.1,115.7,54.8,83.2,5.4,4.27,0.0,19.73
Potato,Sandy,25.5,5.0,50.7,651.5,134.9,101.4,70.0,4.0,2.94,2.1,17.79
Potato,Loamy,69.3,17.0,53.1,458.6,108.9,53.0,82.1,5.92,1.64,2.1,19.99
Tomato,Sandy,37.1,21.5,27.3,491.8,152.9,40.5,75.4,6.56,0.84,2.2,25.97
Potato,Alluvial,42.5,5.0,61.6,1030.9,128.3,79.6,108.1,5.49,7.67,2.2,16.58
Wheat,Black,27.4,32.4,70.0,470.3,150.1,50.0,20.4,5.89,1.15,2.2,2.76
Maize,Clay,33.8,8.0,64.0,1249.8,126.3,79.3,68.1,5.24,8.52,2.4,2.34
Wheat,Black,53.7,18.3,47.9,677.7,113.9,64.4,79.2,6.55,9.38,1.8,3.32
Tomato,Sandy,48.9,35.6,84.6,626.3,102.9,42.8,101.9,7.12,4.41,1.5,25.72
Potato,Alluvial,43.6,23.3,49.8,285.7,143.9,89.0,108.8,4.98,5.29,2.0,20.69
Tomato,Loamy,13.0,5.0,69.4,754.3,86.5,112.0,131.6,6.47,8.35,2.8,21.4
Wheat,Clay,79.0,27.5,62.8,868.5,136.1,78.5,5.0,6.75,4.55,2.1,2.95
Cotton,Black,69.0,34.6,76.4,449.5,95.5,21.3,36.9,7.39,1.54,2.2,1.79
Potato,Loamy,57.4,12.1,66.8,684.0,98.9,75.3,105.4,4.37,2.47,0.5,19.73
Rice,Sandy,44.1,22.4,51.9,1616.7,105.2,30.9,91.2,6.5,2.78,1.8,3.55
Sugarcane,Clay,71.6,30.9,72.1,662.0,156.3,66.8,126.9,6.55,6.0,3.9,57.37
Tomato,Black,62.3,20.5,59.6,245.6,77.2,87.6,117.7,6.63,2.31,2.4,27.87
Wheat,Loamy,12.7,16.7,73.0,863.7,133.7,86.3,54.0,4.88,0.89,1.6,3.04
Rice,Loamy,67.1,22.1,44.5,2136.3,88.3,97.0,21.5,6.53,1.57,3.1,4.14
Sugarcane,Black,49.8,24.0,24.5,1870.0,186.8,79.1,116.6,7.05,6.97,4.1,65.62
Rice,Black,69.5,26.2,44.0,582.4,112.5,37.3,97.7,5.94,8.63,1.8,3.79
Sugarcane,Clay,53.5,45.0,65.4,2063.9,119.3,58.4,112.8,7.62,2.47,5.4,49.58
Rice,Sandy,84.8,32.5,62.3,484.6,120.4,60.0,60.3,6.16,7.52,2.4,3.65
Cotton,Black,63.7,29.1,61.9,542.7,97.7,77.4,75.8,7.81,9.03,1.5,1.8
Wheat,Sandy,30.0,26.7,57.7,20.0,72.4,46.7,50.4,5.97,8.22,2.8,2.79
Cotton,Sandy,61.0,28.2,71.3,800.6,92.6,67.2,75.2,6.24,8.45,2.1,1.86
Tomato,Black,44.2,24.4,77.7,169.3,79.3,59.6,81.4,4.89,5.02,3.0,26.52
Cotton,Clay,27.1,23.1,83.6,609.4,103.5,36.5,79.4,6.83,2.99,2.0,1.84
Maize,Black,80.3,38.8,41.5,335.3,131.7,43.7,45.4,5.94,9.68,3.8,2.49
Rice,Red,56.9,44.2,84.3,1155.9,71.1,26.9,71.8,5.98,6.3,1.9,3.9
Maize,Alluvial,53.5,33.2,45.9,711.3,181.1,27.3,45.9,5.77,9.36,1.2,2.68
Cotton,Clay,31.7,31.3,39.4,654.0,70.7,68.7,71.9,6.63,5.03,1.5,2.02
Tomato,Red,36.2,26.0,41.5,323.8,119.4,72.8,89.7,6.4,2.9,3.5,27.12
Tomato,Sandy,52.5,26.1,51.2,682.7,33.3,72.8,123.7,7.5,1.65,1.7,20.98
Potato,Alluvial,52.1,10.9,41.3,646.6,140.1,84.0,80.9,4.65,4.29,1.3,18.95
Cotton,Red,21.9,14.3,69.8,171.3,129.5,57.9,57.4,8.33,6.71,3.1,1.44
Wheat,Sandy,38.1,17.7,66.4,582.1,97.2,40.6,76.5,5.57,1.62,3.8,3.24
Wheat,Loamy,64.9,17.2,56.9,519.9,73.9,70.8,41.0,7.65,7.63,2.2,2.7
Cotton,Red,50.0,10.8,53.3,1162.9,95.5,56.4,90.5,6.88,7.05,1.5,1.59
Cotton,Black,35.5,30.6,63.3,1010.3,44.1,52.2,78.7,6.92,3.4,2.2,1.72
Cotton,Black,37.2,40.1,51.0,441.5,113.8,46.5,16.8,6.95,8.97,4.3,1.74
Maize,Sandy,30.8,24.5,61.7,822.7,136.6,61.4,31.2,5.18,9.39,0.4,2.68
Wheat,Loamy,49.5,14.9,80.9,756.0,146.9,60.4,38.3,7.7,9.48,2.1,3.06
Cotton,Red,36.4,14.3,64.9,559.0,116.6,67.2,80.8,7.27,4.23,4.2,1.73
Potato,Clay,87.8,16.1,38.1,331.4,154.1,68.2,114.7,5.63,6.96,4.0,20.16
Cotton,Sandy,74.7,30.8,48.1,823.4,113.4,43.8,37.1,6.76,3.31,2.8,1.72
Wheat,Clay,50.6,24.8,59.1,592.3,163.3,61.3,71.6,5.7,2.28,1.2,3.31
Maize,Sandy,41.5,20.2,78.3,714.8,146.8,50.9,61.4,6.48,2.82,3.0,2.85
Tomato,Loamy,37.4,20.6,68.1,82.4,90.5,77.5,117.6,8.05,5.38,3.2,24.22
Cotton,Alluvial,45.2,12.0,43.2,902.1,96.0,39.5,16.0,6.14,5.16,1.5,1.62
Cotton,Sandy,38.8,30.9,91.4,108.6,134.8,69.5,30.5,7.16,6.93,2.6,1.71
Maize,Red,59.2,20.6,37.7,632.2,176.2,29.5,13.6,6.3,3.25,1.5,2.63
Rice,Alluvial,70.1,25.1,56.6,1598.2,45.4,39.7,27.8,7.09,3.04,2.6,3.84
Potato,Sandy,45.0,12.7,49.5,684.2,126.7,76.0,72.5,5.36,8.69,3.1,22.16
Wheat,Red,21.4,6.3,62.0,94.7,95.9,71.0,84.3,6.81,4.72,2.0,2.56
Rice,Black,61.9,28.2,89.1,444.6,87.8,13.3,37.4,5.31,6.4,4.1,3.81
Wheat,Sandy,35.4,21.4,83.9,649.1,144.2,47.7,57.9,6.06,1.31,2.0,3.53
Tomato,Red,62.3,16.8,52.5,552.6,112.4,91.1,65.8,6.24,6.67,2.5,27.46
Maize,Alluvial,67.9,11.9,55.7,222.6,175.1,51.8,38.8,6.58,5.32,2.9,2.43
Sugarcane,Clay,60.7,16.1,81.9,1405.5,199.7,92.1,48.4,5.39,3.8,4.8,60.04
Maize,Sandy,47.7,30.8,58.3,574.9,156.2,77.5,23.3,6.15,4.56,3.0,2.79
Rice,Clay,74.7,11.4,54.7,334.8,141.1,28.3,81.4,6.76,3.05,2.7,3.38
Wheat,Alluvial,44.9,25.0,65.9,847.8,200.0,60.8,21.6,4.88,6.88,0.8,2.84
Tomato,Loamy,95.0,25.6,66.9,975.1,162.2,85.6,110.7,7.04,8.76,1.9,21.59
Sugarcane,Black,87.8,28.3,42.6,806.8,103.5,83.2,89.7,7.98,7.55,2.9,55.7
Wheat,Black,60.3,25.3,61.6,775.9,129.7,85.7,72.4,6.94,7.18,2.6,3.21
Wheat,Clay,44.1,19.3,69.5,444.1,99.0,73.6,27.6,6.61,5.09,2.7,3.2
Potato,Sandy,58.1,25.3,75.4,380.4,146.4,79.7,96.0,6.5,2.96,1.8,19.93
Wheat,Sandy,21.1,26.4,88.7,804.2,122.8,32.5,20.6,6.46,8.27,2.8,2.81
Maize,Red,42.5,26.8,65.2,408.2,125.4,81.5,52.4,7.86,6.93,3.2,2.79
Potato,Clay,50.3,8.1,42.8,508.7,64.5,62.4,148.6,5.22,2.65,1.1,17.59
Sugarcane,Sandy,61.2,36.5,37.3,1470.1,154.1,54.5,57.1,5.77,9.43,3.5,70.61
Wheat,Alluvial,36.9,14.0,75.5,438.1,85.0,81.0,17.4,6.42,9.03,1.8,3.1
Sugarcane,Loamy,79.7,27.3,86.0,1065.8,143.7,67.3,75.5,7.53,9.89,3.5,62.16
Potato,Clay,28.3,18.9,50.2,660.8,107.7,75.2,63.5,4.05,5.39,2.5,18.4
Tomato,Alluvial,62.3,15.7,73.1,612.7,85.9,48.8,71.7,6.28,6.31,2.3,28.61
Potato,Sandy,57.6,18.1,80.2,471.8,161.2,73.7,123.2,5.68,4.4,3.6,22.26
Rice,Alluvial,56.8,21.6,46.9,1647.9,62.4,50.4,43.4,6.83,7.74,3.6,3.75
Maize,Black,45.7,24.1,84.8,509.3,190.0,51.8,56.8,5.74,6.09,1.5,2.67
Sugarcane,Alluvial,59.5,35.6,69.0,1294.5,132.1,109.0,23.8,6.45,6.45,2.0,50.74
Rice,Clay,95.0,23.9,56.5,2228.9,95.2,22.5,57.0,5.86,3.69,3.5,3.87
Potato,Clay,35.7,19.0,48.0,435.6,92.7,122.1,82.7,6.05,2.06,2.7,18.96
Rice,Red,80.1,6.0,41.5,1573.4,72.3,54.1,18.5,6.59,7.32,4.2,3.89
Rice,Clay,70.4,19.4,59.0,1063.6,105.4,19.9,59.9,6.81,0.89,2.7,3.96
Rice,Sandy,65.1,35.5,64.7,854.6,107.5,66.2,48.1,6.06,5.44,4.7,4.23
Cotton,Loamy,50.9,23.6,63.3,119.5,40.7,71.7,55.7,6.96,5.6,0.8,1.68
Maize,Loamy,53.6,28.1,29.5,1386.5,116.3,60.0,40.9,7.8,7.77,1.0,2.52
Wheat,Red,47.4,21.1,43.7,766.3,120.7,71.1,44.8,5.98,2.91,2.5,3.5
Cotton,Black,5.0,29.0,51.7,724.2,160.0,90.6,45.9,6.34,8.61,2.3,1.62
Wheat,Red,52.9,22.9,64.3,842.9,111.8,50.2,67.7,5.89,8.12,0.7,2.96
Cotton,Red,32.6,13.7,58.2,271.5,107.6,72.1,5.0,6.67,3.91,5.0,1.69
Tomato,Sandy,74.5,18.5,53.4,412.3,174.1,96.4,93.3,6.5,9.22,2.5,26.52
Cotton,Alluvial,46.9,28.4,54.9,676.3,82.4,59.9,14.2,6.79,7.05,2.1,1.96
Cotton,Black,58.6,18.3,41.9,297.9,99.7,22.9,73.8,6.26,1.23,1.3,1.69
Potato,Loamy,73.0,10.3,44.0,1118.5,136.6,99.2,111.5,5.14,4.57,1.4,16.8
Potato,Red,39.8,17.9,59.1,562.7,122.5,96.0,123.1,4.66,6.76,1.6,20.17
Cotton,Sandy,50.6,33.0,31.3,630.2,85.9,34.8,83.8,6.48,5.63,2.3,1.75
Potato,Black,76.0,22.2,27.3,362.3,103.1,89.6,34.4,7.54,6.44,2.1,17.4
Maize,Clay,65.7,31.6,62.0,654.0,125.7,43.5,22.8,5.12,2.92,0.0,2.56
Maize,Black,52.6,19.8,95.0,1142.0,102.7,64.7,24.8,5.39,6.14,1.9,2.59
Potato,Red,42.7,25.7,74.9,857.2,94.4,89.5,115.8,5.12,2.49,2.2,17.89
Rice,Sandy,39.1,28.3,30.2,1131.5,119.7,70.9,58.4,6.54,2.81,3.7,3.69
Wheat,Black,34.1,31.8,79.0,525.7,105.2,57.4,35.0,6.03,5.28,1.8,3.17
Tomato,Clay,60.9,22.4,53.5,214.7,54.8,42.9,62.1,6.82,2.6,2.3,28.04
Rice,Alluvial,62.4,23.4,74.3,1254.1,70.7,25.9,43.4,5.27,0.85,3.7,4.28
Wheat,Red,43.7,30.2,39.3,678.5,147.5,58.3,58.0,6.27,9.44,3.2,3.44
Wheat,Loamy,55.4,32.4,76.1,756.4,161.6,63.8,21.8,6.51,4.15,0.9,3.05
Potato,Alluvial,39.7,18.6,75.9,277.6,150.3,55.8,77.0,6.66,0.67,0.9,18.82
Sugarcane,Red,38.5,15.0,80.7,1560.2,161.7,25.6,30.1,7.21,3.14,4.1,55.93
Rice,Red,66.0,27.6,62.9,2132.9,37.0,63.7,47.1,6.45,4.93,3.8,4.23
Rice,Loamy,95.0,23.2,64.3,1473.8,109.3,35.8,79.0,6.41,8.34,3.3,4.09
Rice,Loamy,60.0,27.2,71.8,1250.5,101.3,59.9,66.7,5.95,6.9,3.4,4.22
Rice,Sandy,25.5,13.6,32.6,1608.5,100.4,24.8,62.3,6.79,3.71,4.2,3.53
Maize,Loamy,68.8,34.9,64.6,869.6,147.7,60.1,58.6,5.78,4.55,3.5,2.7
Potato,Clay,51.8,9.1,77.3,552.9,144.4,77.8,143.3,4.0,8.06,2.5,18.42
Potato,Alluvial,24.9,12.3,48.2,674.0,102.9,69.2,90.6,4.9,8.92,2.7,19.35
Rice,Red,86.8,12.9,64.4,1002.5,139.1,39.7,16.5,5.98,7.48,3.4,3.39
Cotton,Sandy,67.8,36.8,67.2,558.5,111.5,63.8,25.3,7.68,6.74,2.1,1.68
Maize,Loamy,30.1,39.7,71.5,194.3,140.0,49.6,24.0,6.32,7.35,2.9,2.29
Cotton,Clay,52.7,30.8,59.7,814.4,123.7,59.1,17.2,6.37,9.49,1.6,1.86
Potato,Alluvial,59.0,29.3,78.8,692.3,141.8,124.3,121.1,6.24,6.48,0.8,16.4
Rice,Sandy,92.6,26.8,52.3,899.1,105.1,42.8,35.3,4.89,4.72,3.3,4.12
Wheat,Sandy,46.8,25.5,61.4,564.0,134.6,25.2,17.7,5.46,9.27,2.4,3.12
Tomato,Black,79.3,28.7,62.8,110.6,132.3,97.7,104.3,6.27,6.92,2.6,24.58
Maize,Alluvial,46.0,18.7,54.0,874.2,129.8,45.0,40.0,7.09,1.08,3.0,2.97
Wheat,Loamy,10.2,27.6,66.1,655.3,151.9,84.3,60.0,5.82,7.63,1.8,2.66
Cotton,Loamy,47.9,14.0,63.5,910.2,55.4,83.2,24.8,7.46,8.28,2.8,1.54
Rice,Alluvial,67.8,27.1,63.3,1025.9,94.0,57.4,76.0,4.44,8.88,3.8,3.99
Wheat,Black,33.6,21.7,68.3,457.8,64.6,51.4,65.7,6.23,7.62,1.4,3.09
Cotton,Clay,42.7,34.2,95.0,868.9,134.8,39.9,24.4,7.05,1.73,3.2,1.79
Tomato,Sandy,61.5,27.0,64.4,331.4,94.6,46.0,134.6,6.31,1.58,1.9,23.36
Wheat,Loamy,37.3,25.3,69.0,961.3,174.2,70.1,13.6,6.29,6.82,4.2,3.11
Tomato,Sandy,40.7,24.3,83.7,377.5,109.2,99.1,82.5,6.71,4.4,3.1,28.25
Rice,Black,52.6,22.7,53.0,621.6,75.5,27.3,39.7,5.41,5.94,1.5,3.6
Sugarcane,Loamy,69.9,29.3,77.9,1074.3,182.8,59.0,26.6,7.08,5.78,6.1,62.86
Maize,Sandy,42.6,30.3,37.9,289.6,116.7,61.6,24.0,6.73,6.93,2.5,2.81
Maize,Red,72.4,11.2,37.2,403.3,125.6,31.9,49.2,6.55,3.04,1.4,2.34
Cotton,Red,5.0,27.3,53.5,493.4,69.6,66.2,110.6,6.33,8.92,2.8,1.7
Wheat,Red,70.2,24.9,60.5,538.2,117.5,83.0,11.5,6.28,6.81,1.1,3.2
Maize,Loamy,29.8,22.5,70.9,915.6,169.3,67.7,53.8,6.47,4.62,1.6,2.76
Tomato,Red,77.1,21.5,44.9,221.6,101.1,64.0,112.8,5.76,9.1,2.0,27.01
Cotton,Sandy,62.5,31.4,72.0,47.7,93.4,28.4,104.1,7.92,3.11,3.9,1.52
Cotton,Clay,43.5,36.7,34.0,297.2,66.8,67.3,40.8,6.74,1.44,4.4,1.85
Sugarcane,Sandy,89.5,23.6,52.7,2326.2,112.7,47.5,32.6,6.45,2.74,3.8,62.29
Rice,Clay,81.0,22.5,51.2,958.3,72.7,83.7,71.1,6.02,9.09,3.1,3.77
Maize,Alluvial,26.0,6.6,49.5,752.6,143.1,63.0,5.0,6.84,9.14,1.6,2.5
Wheat,Loamy,10.9,24.5,42.2,520.9,136.0,61.8,18.7,6.51,6.39,2.9,3.07
Rice,Sandy,68.9,16.3,77.4,1245.5,163.6,45.4,5.0,7.17,8.43,3.4,3.91
Rice,Loamy,72.5,38.3,90.0,1120.4,110.6,69.6,69.2,6.61,3.88,4.4,3.88
Potato,Black,32.8,30.2,71.7,800.1,92.1,81.4,107.5,5.7,2.14,4.0,18.01
Cotton,Alluvial,57.7,20.3,65.8,893.0,62.9,50.8,48.0,6.48,0.97,0.5,1.79
Potato,Black,69.3,5.0,57.6,503.2,114.2,72.1,83.3,6.1,9.13,1.9,18.21
Potato,Black,90.3,21.6,61.2,509.6,48.5,94.9,103.4,5.84,3.33,3.4,17.36
Rice,Loamy,58.7,28.2,78.1,324.2,147.4,41.9,62.8,6.49,0.87,3.7,3.59
Potato,Sandy,49.3,5.0,52.4,805.9,130.3,88.1,133.2,4.67,2.02,1.8,18.71
Maize,Loamy,65.8,28.5,70.9,315.5,91.9,33.6,16.9,7.44,3.79,1.1,2.46
Rice,Black,76.6,17.9,71.3,868.6,124.2,41.5,30.2,7.29,1.22,4.2,4.01
Maize,Loamy,27.8,31.6,85.3,1242.7,176.7,56.0,30.9,4.86,5.61,3.3,2.38
Maize,Sandy,32.5,27.3,57.4,907.6,138.1,31.0,41.9,7.04,9.33,0.4,2.23
Wheat,Loamy,84.1,8.0,45.6,20.0,179.8,41.1,5.0,6.01,4.19,2.1,2.42
Cotton,Loamy,51.6,23.3,62.9,932.8,70.1,5.0,66.8,9.0,3.19,4.1,1.57
Wheat,Red,43.6,20.5,73.7,492.6,81.5,77.6,25.2,5.72,5.12,2.4,3.57
Tomato,Red,39.0,28.5,64.7,295.7,123.0,59.7,62.4,5.34,0.6,1.6,25.74
Sugarcane,Alluvial,92.0,25.7,48.2,1582.1,111.2,68.3,68.0,6.66,5.76,5.6,64.01
Rice,Clay,82.1,36.4,95.0,807.6,103.9,40.4,71.1,6.22,5.3,3.3,3.76
Wheat,Clay,30.6,14.4,64.9,1053.2,59.7,61.9,16.9,7.3,7.5,0.0,2.76
Sugarcane,Sandy,62.6,35.0,46.9,1081.0,180.3,69.1,94.5,5.96,1.42,4.2,59.66
Cotton,Clay,10.5,20.3,57.7,20.0,22.9,10.5,42.7,6.79,2.92,3.3,1.51
Tomato,Black,39.6,17.1,34.4,391.3,133.6,97.1,83.9,6.69,5.16,3.8,25.8
Rice,Loamy,77.1,31.0,66.6,1217.7,146.0,5.0,53.7,6.9,5.91,4.3,3.54
Sugarcane,Red,51.0,33.7,55.7,1939.8,163.1,54.1,72.5,5.97,9.7,5.6,62.51
Potato,Alluvial,54.4,12.5,41.0,535.3,101.0,42.4,66.7,6.8,2.91,3.0,18.26
Sugarcane,Loamy,86.0,19.4,30.2,510.3,125.7,107.8,49.7,6.62,1.49,4.1,58.24
Potato,Sandy,56.4,23.0,64.3,474.1,98.4,81.6,127.4,6.93,9.01,0.7,20.87
Rice,Sandy,79.3,36.5,46.7,634.0,84.0,54.2,71.7,5.21,5.06,2.4,3.64
Tomato,Clay,41.4,29.9,61.2,530.9,99.3,54.9,80.9,6.7,6.27,1.0,26.12
Maize,Clay,64.6,33.8,55.0,629.6,184.8,102.4,40.7,5.27,8.38,1.3,2.22
Potato,Black,60.3,10.6,76.4,680.4,180.3,95.6,76.0,5.92,7.31,1.0,19.25
Wheat,Alluvial,24.5,34.8,69.3,383.1,123.8,57.5,15.7,6.53,7.09,0.1,2.94
Rice,Sandy,51.1,19.9,53.6,791.9,124.7,27.7,50.5,7.6,7.89,3.8,3.75
Maize,Loamy,60.2,21.5,59.7,676.8,128.0,64.2,48.8,5.2,5.82,3.0,2.91
Maize,Loamy,66.7,12.3,58.4,314.6,200.0,62.8,10.6,9.0,3.66,0.3,2.01
Sugarcane,Red,84.5,17.0,53.8,1890.8,143.9,66.7,34.7,8.18,2.29,3.1,56.54
Cotton,Sandy,71.0,29.6,45.4,826.7,91.7,24.2,59.5,7.28,5.44,2.2,1.9
Maize,Clay,58.5,28.9,65.2,586.9,143.6,58.1,89.0,5.83,5.22,1.9,2.65
Wheat,Red,43.6,23.6,53.1,685.9,123.9,78.1,42.3,6.58,8.41,0.9,3.62
Potato,Alluvial,85.5,23.6,56.7,505.1,108.2,84.2,75.7,6.17,8.84,2.4,19.63
Cotton,Alluvial,51.6,19.2,78.8,652.4,119.3,51.6,6.2,6.31,6.26,2.8,1.66
Tomato,Red,37.6,16.6,61.5,20.0,160.2,78.8,120.7,5.04,6.06,4.4,22.66
Maize,Red,45.6,25.9,52.0,20.0,151.5,67.6,57.2,5.9,7.83,3.7,2.63
Potato,Clay,26.6,16.0,62.1,657.6,125.1,61.6,129.2,5.5,5.54,2.8,18.04
Sugarcane,Black,72.4,14.1,38.3,2154.5,125.9,39.0,85.0,6.12,3.11,3.6,57.33
Cotton,Black,66.5,35.0,49.2,60.4,169.2,45.8,30.9,8.11,7.34,3.7,1.56
Wheat,Clay,21.4,17.6,65.8,1029.6,139.8,58.3,28.1,7.44,2.7,1.1,3.09
Rice,Black,57.9,35.2,66.5,1417.5,105.8,54.8,10.5,6.64,8.94,3.4,4.09
Sugarcane,Loamy,85.5,19.3,59.1,1732.2,156.0,91.9,72.0,5.81,5.38,4.8,61.32
Rice,Loamy,74.5,30.2,95.0,1092.7,90.5,52.3,76.8,4.79,1.04,3.5,4.05
Rice,Clay,48.6,22.2,70.6,1702.0,98.6,29.1,76.4,6.56,0.69,3.7,3.9
Wheat,Red,59.9,29.8,55.8,1317.3,109.4,62.2,72.4,6.95,5.25,0.7,2.73
Rice,Clay,64.7,36.4,50.3,1406.2,100.3,56.6,51.0,6.6,3.27,3.8,4.04
Tomato,Clay,81.4,39.8,59.9,851.4,86.8,59.4,126.4,6.94,5.91,1.7,22.34
Cotton,Black,21.8,29.8,78.0,556.9,91.4,59.7,36.0,7.24,0.82,4.3,1.93
Maize,Red,77.9,26.6,78.3,743.5,137.1,53.3,32.2,4.96,1.19,2.1,2.76
